handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_a1b61257-c66c-7419-c9b0-0a73ad8f580d,Product,Holiday Club Harrow - 9am-4pm,"<p>Blue Nest Montessori’s Holiday Club Harrow (9am–4pm) offers a full day of engaging activities in a safe and nurturing environment. Priced at £80 this session provides a balanced mix of structured learning and creative play. Children can explore arts and crafts, participate in group games, and enjoy quiet reading time, all guided by experienced staff. The club operates from 9am to 4pm, providing flexibility for parents. Whether you're looking for a fun day out for your child or need reliable childcare, Blue Nest Montessori ensures a memorable and enriching experience.</p>",89595e_d9665418a4d84de1849ba5f6a1077c19~mv2.jpg,Holiday club Harrow,,,80.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_6b895486-92a9-2fd1-0b72-505bb5175d71,Product,Holiday Club Harrow - 8am-6pm,"<p>Blue Nest Montessori’s Holiday Club Harrow (8am–6pm) offers your child a fun and enriching way to spend the day. Priced at £92, this full-day session combines care, creativity and learning in a safe, nurturing environment. With a carefully crafted mix of indoor and outdoor activities, children are encouraged to explore, play, and grow alongside skilled and caring staff. From arts and crafts and group games to quiet reading times and imaginative play, every part of the day is designed to stimulate both curiosity and confidence. Convenient hours give you the flexibility to work or unwind knowing your child is in excellent hands.</p>",89595e_d9665418a4d84de1849ba5f6a1077c19~mv2.jpg,Holiday club Harrow,,,92.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_441e8f01-8d4b-dc30-976a-a473e118619d,Product,Holiday Club Harrow - 1pm-6pm,"<p>Blue Nest Montessori Holiday Club Harrow (1pm-6pm) is a fun-filled afternoon and early evening session priced at £53. Designed for busy parents and curious kids alike, this session offers a perfect blend of engaging activities in a safe, supportive environment. From creative arts and hands-on play to quiet time and structured group games, every hour is carefully crafted to spark imagination and build confidence. With caring, experienced staff to guide the day, children enjoy meaningful interaction, socialising and skill-building. Drop-off is easy, pick-up is prompt, a flexible solution that fits your schedule without compromising on quality.</p>",89595e_d9665418a4d84de1849ba5f6a1077c19~mv2.jpg,Holiday club Harrow,,,53.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_33c96595-c379-7f60-4f9a-ddf0b16e173a,Product,Holiday Club Harrow - 8am-1pm,"<p>Blue Nest Montessori Holiday Club Harrow (8am–1pm) offers a fun and engaging morning session for children, priced at £55. This session provides a safe and nurturing environment where children can explore creative activities, participate in group games, and enjoy imaginative play, all guided by experienced and caring staff. Designed to encourage curiosity, social interaction, and confidence, every part of the morning is structured to be both enjoyable and enriching. With convenient drop-off and pick-up times, it's the perfect solution for parents seeking reliable childcare during the holidays while giving children a memorable and stimulating experience.</p>",89595e_d9665418a4d84de1849ba5f6a1077c19~mv2.jpg,Holiday club Harrow,,,55.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fc66b6ca-60b9-cfe5-c5ba-cb03c0715a8c,Product,Holiday Club Pinner - 9am-4pm,"<p>Blue Nest Montessori Holiday Club Pinner (9am–4pm) offers a full day of fun, learning, and care for children. Priced at £72, this session provides a safe and engaging environment where kids can explore creative activities, participate in group games, and enjoy imaginative play, all guided by experienced, caring staff. Designed to encourage curiosity, social interaction, and confidence, every part of the day is structured to be both enjoyable and enriching. With convenient drop-off and pick-up times, it’s the perfect solution for parents looking for reliable childcare during the holidays while giving children a memorable and stimulating experience.</p>",89595e_d9665418a4d84de1849ba5f6a1077c19~mv2.jpg,Holiday club Pinner,,,72.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_5d29e430-32f2-98a5-8eed-498b88a680ad,Product,Holiday Club Pinner - 8am-6pm,"<p>Blue Nest Montessori Holiday Club Pinner (8am–6pm) offers a full day of engaging activities in a safe and nurturing environment. Priced at £85, this session provides a balanced mix of structured learning and creative play. Children can explore arts and crafts, participate in group games, and enjoy quiet reading time, all guided by experienced staff. Operating from 8am to 6pm, it provides parents with convenient, reliable childcare. Whether you're looking for a fun day out for your child or need reliable childcare, Blue Nest Montessori ensures a memorable and enriching experience.</p>",89595e_d9665418a4d84de1849ba5f6a1077c19~mv2.jpg,Holiday club Pinner,,,85.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_7b9bf173-f19d-66a2-42a1-5001fe214ed1,Product,Holiday Club Pinner - 1pm-6pm,"<p>Blue Nest Montessori Holiday Club Pinner (1pm-6pm) is a lively afternoon &amp; early evening session priced at £45. Perfect for families needing reliable care during the latter half of the day, this club brings together fun, friendship and purposeful play. With a balance of creative crafts, group games, adventure, and chill-out time, every child is encouraged to explore and blossom. Our experienced, caring staff will nurture imagination, help with social interaction, and ensure safety in a warm, inclusive environment. Flexible pick-ups, exciting activities and plenty of smiles, a great way to wrap up the day.</p>",89595e_d9665418a4d84de1849ba5f6a1077c19~mv2.jpg,Holiday club Pinner,,,45.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_d6b30993-e1cb-83be-200a-a94d406be6a9,Product,Holiday Club Pinner - 8am-1pm,"<p>Blue Nest Montessori Holiday Club Pinner (8am–1pm) offers a fun and engaging morning session for children, priced at £50. This session provides a safe and nurturing environment where children can explore creative activities, participate in group games, and enjoy imaginative play, all guided by experienced and caring staff. Designed to encourage curiosity, social interaction, and confidence, every part of the morning is structured to be both enjoyable and enriching. With convenient drop-off and pick-up times, it's the perfect solution for parents seeking reliable childcare during the holidays while giving children a memorable and stimulating experience.</p>",89595e_d9665418a4d84de1849ba5f6a1077c19~mv2.jpg,Holiday club Pinner,,,50.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_fe398509-93de-640a-2666-1a04bbafe720,Product,Book Bag,,89595e_9c1aa7f251db4087a6de885b963190cd~mv2.jpg;89595e_32672582bce04a2c865cbb8f04f6faa2~mv2.jpg,Schoolwear,,,10.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_528448ca-79fe-6fd5-449f-1898d0604165,Product,String Bag,,89595e_167b36fcac784a919cf3ec28fc182603~mv2.jpg;89595e_1d77bb2e7d114cebbe876922b6048318~mv2.jpg;e2c825_5e8bcc03241543fb85179c2cee0a1657~mv2.jpg,Schoolwear,,,8.0,,true,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
